time,position,torque
0,0,0
0.003,0,0.09196883435
0.006,-0.0003997087479,0.05781231406
0.009,-0.0007966756821,-1.262500584
0.012,-0.001193642616,-1.42019838
0.015,-0.001987457275,-2.205589919
0.018,-0.002781391144,-0.4099629692
0.021,-0.003972172737,-1.665514538
0.024,-0.00516474247,-1.870087539
0.027,-0.007147312164,-0.3596750472
0.03,-0.008733272552,-0.187148026
0.033,-0.0115083456,4.665561107
0.036,-0.01388633251,5.16086353
0.039,-0.01744937897,-1.083737375
0.042,-0.01982104778,3.119447618
0.045,-0.02337872982,3.435696037
0.048,-0.02614474297,-1.114808744
0.051,-0.03009140491,2.382216537
0.054,-0.0332442522,3.552942907
0.057,-0.03797209263,6.819992161
0.06,-0.0426967144,3.307913103
0.063,-0.04623377323,1.321352901
0.066,-0.05134224892,4.152271692
0.069,-0.05526697636,7.297508247
0.072,-0.06075537205,1.582391324
0.075,-0.06428134441,5.230365944
0.078,-0.07015073299,9.340454484
0.081,-0.07445144653,4.97700878
0.084,-0.08070194721,10.26101435
0.087,-0.08499419689,4.120662096
0.09,-0.09123075008,4.520985455
0.093,-0.09785139561,2.310709555
0.096,-0.1021308899,-0.656999034
0.099,-0.106795907,1.559647656
0.102,-0.1133986712,5.77802453
0.105,-0.1203833818,4.450621066
0.108,-0.125423193,5.817042574
0.111,-0.1300722361,5.959742173
0.114,-0.1370404959,2.703738988
0.117,-0.1443892717,3.96110339
0.12,-0.149413228,5.594633592
0.123,-0.1544343233,5.902336182
0.126,-0.1617679596,6.858106016
0.129,-0.1690961123,8.019989443
0.132,-0.1741067171,4.802477139
0.135,-0.1791151762,6.197425237
0.138,-0.1864312887,5.841317053
0.141,-0.1937432289,3.633387339
0.144,-0.1983591318,9.159099857
0.147,-0.2029733658,-9.721373283
0.15,-0.2091240883,-67.323632
0.153,-0.2129670382,-71.90191464
0.156,-0.2145036459,-89.69515839
0.159,-0.2160403728,-94.40770649
0.162,-0.2164245844,-82.79197519
0.165,-0.2168090343,-77.94825557
0.168,-0.2168090343,-62.52517682
0.171,-0.2171931267,-60.22313266
0.174,-0.2175773382,-40.60910199
0.177,-0.2175773382,-34.86224148
0.18,-0.2175773382,-26.52033169
0.183,-0.2179613113,-16.25484667
0.186,-0.2179613113,-8.949389565
0.189,-0.2183454037,-9.105071349
0.192,-0.218729496,1.464161033
0.195,-0.2191137075,-4.495144358
0.198,-0.2191137075,-3.2111583
0.201,-0.2191137075,3.065089701
0.204,-0.2191137075,2.058021532
0.207,-0.2191137075,5.37628966
0.21,-0.2191137075,11.20673833
0.213,-0.2194976807,-44.06093043
0.216,-0.2214183807,2.742900708
0.219,-0.2267947197,-0.3803771604
0.222,-0.2337056398,-44.49067344
0.225,-0.237544179,-11.70084024
0.228,-0.2406146526,-57.95572414
0.231,-0.2444523573,-71.23672391
0.234,-0.2482898235,-46.23765477
0.237,-0.250592351,-60.68777428
0.24,-0.2525106668,-73.09668142
0.243,-0.2551965714,-102.4386625
0.246,-0.2563476563,-100.3698737
0.249,-0.2571150064,-100.1859541
0.252,-0.2571150064,-93.90292769
0.255,-0.2571150064,-82.92341047
0.258,-0.2563476563,-88.15290437
0.261,-0.2559639215,-85.11431791
0.264,-0.2555803061,-84.94062211
0.267,-0.2551965714,-81.93275263
0.27,-0.2551965714,-88.34936001
0.273,-0.2551965714,-90.40657681
0.276,-0.2551965714,-98.11872747
0.279,-0.2551965714,-104.6932757
0.282,-0.2551965714,-108.3036324
0.285,-0.2551965714,-108.9582268
0.288,-0.2551965714,-111.2504602
0.291,-0.2551965714,-110.8999327
0.294,-0.2551965714,-113.4431239
0.297,-0.2551965714,-119.2476088
0.3,-0.2551965714,-122.584435
0.303,-0.2551965714,-123.0411881
0.306,-0.2551965714,-121.3300123
0.309,-0.2551965714,-122.1619505
0.312,-0.2551965714,-120.0175824
0.315,-0.2551965714,-114.2602
0.318,-0.2551965714,-112.6156036
0.321,-0.2551965714,-111.7764499
0.324,-0.2551965714,-111.1239522
0.327,-0.2551965714,-112.8142215
0.33,-0.2551965714,-113.7818021
0.333,-0.2551965714,-112.8804044
0.336,-0.2551965714,-110.0938877
0.339,-0.2551965714,-109.4795072
0.342,-0.2551965714,-107.5005973
0.345,-0.2551965714,-107.608304
0.348,-0.2551965714,-112.1286501
0.351,-0.2551965714,-108.7721158
0.354,-0.2551965714,-109.5280217
0.357,-0.2555803061,-112.5595898
0.36,-0.2555803061,-110.4518739
0.363,-0.2559639215,-112.4151173
0.366,-0.2559639215,-113.1141311
0.369,-0.2563476563,-111.8830444
0.372,-0.2567312717,-114.4589097
0.375,-0.2571150064,-115.1639894
0.378,-0.2571150064,-112.3018251
0.381,-0.2574986219,-119.0775976
0.384,-0.2578823566,-124.0181831
0.387,-0.2578823566,-119.3150661
0.39,-0.2578823566,-121.4700046
0.393,-0.2582660913,-118.5776054
0.396,-0.2586497068,-121.0123941
0.399,-0.2586497068,-121.9786833
0.402,-0.2590334415,-122.2728044
0.405,-0.259417057,-124.4969113
0.408,-0.2598006725,-124.4751647
0.411,-0.2598006725,-125.7987091
0.414,-0.2601844072,-127.0830843
0.417,-0.2605680227,-124.9304051
0.42,-0.2609516382,-124.7490256
0.423,-0.2613353729,-125.5638685
0.426,-0.2617189884,-126.5794446
0.429,-0.2617189884,-128.7142766
0.432,-0.2621026039,-130.8123384
0.435,-0.2624863386,-127.0808996
0.438,-0.2628699541,-130.6622292
0.441,-0.2632535696,-130.4229087
0.444,-0.2636373043,-130.5869383
0.447,-0.2640209198,-129.7153311
0.45,-0.2644046545,-131.0890602
0.453,-0.2647881508,-132.8236045
0.456,-0.2651718855,-132.9544255
0.459,-0.2659391165,-133.2165402
0.462,-0.2663228512,-133.833205
0.465,-0.2667064667,-134.8516287
0.468,-0.2678574324,-135.291803
0.471,-0.2682410479,-134.7671305
0.474,-0.2690083981,-135.3769625
0.477,-0.2697757483,-137.5538759
0.48,-0.2705429792,-137.4902954
0.483,-0.2713103294,-137.1262283
0.486,-0.2720775604,-137.460026
0.489,-0.2724611759,-136.8242741
0.492,-0.2736121416,-138.4462723
0.495,-0.2747631073,-139.6360841
0.498,-0.2751467228,-139.5455524
0.501,-0.275914073,-140.6441935
0.504,-0.2774487734,-147.2846573
0.507,-0.2789833546,-147.0436318
0.51,-0.2797507048,-145.9305804
0.513,-0.280518055,-146.8689798
0.516,-0.2816691399,-151.5369371
0.519,-0.2828201056,-155.3352224
0.522,-0.283587575,-156.5824366
0.525,-0.2851223946,-157.157034
0.528,-0.2858897448,-158.2679355
0.531,-0.2874245644,-156.5936252
0.534,-0.2881919146,-153.749832
0.537,-0.2893431187,-152.8093816
0.54,-0.2901107073,-155.1617854
0.543,-0.2912617922,-158.7254435
0.546,-0.2920292616,-155.6039375
0.549,-0.2931807041,-151.9518835
0.552,-0.2943320274,-154.0752436
0.555,-0.2950993776,-154.7692142
0.558,-0.2958669662,-149.8917341
0.561,-0.2970184088,-146.9685905
0.564,-0.2981698513,-148.8043928
0.567,-0.2989373207,-144.51631
0.57,-0.2997050285,-142.7413417
0.573,-0.3008567095,-145.3415306
0.576,-0.3020082712,-141.2554788
0.579,-0.3027760983,-141.2439011
0.582,-0.3039275408,-142.369452
0.585,-0.3054631948,-137.4409117
0.588,-0.306614995,-140.5783929
0.591,-0.3077665567,-143.4272072
0.594,-0.308534503,-139.9988421
0.597,-0.3100705147,-142.08736
0.6,-0.3112220764,-141.6376637
0.603,-0.3119902611,-143.2149762
0.606,-0.3131424189,-143.280454
0.609,-0.3142945766,-145.390058
0.612,-0.315446496,-141.9908104
0.615,-0.3162147999,-139.4817048
0.618,-0.3169829845,-145.9683803
0.621,-0.3177512884,-144.1537657
0.624,-0.3189038038,-139.0553856
0.627,-0.3196716309,-137.9369756
0.63,-0.3204401731,-141.9384943
0.633,-0.3212085962,-135.594341
0.636,-0.3223612309,-130.877583
0.639,-0.3235135078,-124.122136
0.642,-0.3246663809,-122.7423224
0.645,-0.3258193731,-122.8075825
0.648,-0.3277404308,-117.0605717
0.651,-0.3296625614,-117.7356577
0.654,-0.3323529959,-116.2906303
0.657,-0.3354291916,-129.5146757
0.66,-0.3373515606,-112.3185521
0.663,-0.3392747641,-176.8800611
0.666,-0.3392747641,-131.9976231
0.669,-0.3361977339,-71.30353414
0.672,-0.3338911533,-40.73139218
0.675,-0.3319685459,-44.33951363
0.678,-0.3296625614,2.519116972
0.681,-0.3285093307,-11.6832639
0.684,-0.3265879154,2.18465717
0.687,-0.3246663809,-6.394734642
0.69,-0.3219770193,0.7514271363
0.693,-0.3192874193,3.917907352
0.696,-0.3173671961,4.081095087
0.699,-0.314678669,4.506557886
0.702,-0.3123743534,2.698559374
0.705,-0.3093025684,6.910586433
0.708,-0.3073825836,7.744038592
0.711,-0.3039275408,9.137952683
0.714,-0.3012405634,6.460112964
0.717,-0.2974022627,6.560509621
0.72,-0.2943320274,9.562195459
0.723,-0.2901107073,3.798596723
0.726,-0.2870407104,1.319124778
0.729,-0.2820528746,4.299695933
0.732,-0.2785996199,7.700631774
0.735,-0.2728447914,3.084229266
0.738,-0.2674736977,2.479107988
0.741,-0.2632535696,6.30055862
0.744,-0.259417057,11.21864617
0.747,-0.2532781363,9.470874816
0.75,-0.2471387386,9.248345784
0.753,-0.2429174185,11.43606871
0.756,-0.2386956215,10.57812508
0.759,-0.2321698666,4.004328248
0.762,-0.2252588272,6.850114337
0.765,-0.2206500769,10.43107236
0.768,-0.2160403728,-0.1232750963
0.771,-0.2091240883,3.988130886
0.774,-0.2041268349,6.262263667
0.777,-0.1968208551,6.07703766
0.78,-0.1918193102,0.81355019
0.783,-0.1841219664,-2.204894046
0.786,-0.1764190197,5.257530291
0.789,-0.1714087725,1.883075466
0.792,-0.166011095,3.629509201
0.795,-0.1582949162,3.309310108
0.798,-0.1505720615,4.412443371
0.801,-0.1455487013,6.523836152
0.804,-0.1382011175,3.600807529
0.807,-0.1331701279,5.226811478
0.81,-0.1258106232,6.113405218
0.813,-0.1207710505,5.809373446
0.816,-0.1133986712,2.490637252
0.819,-0.1087383032,6.477431606
0.822,-0.1017421484,8.629993348
0.825,-0.09707343578,3.232848229
0.828,-0.09006214142,7.407197391
0.831,-0.08577382565,9.752057017
0.834,-0.07913899422,3.838326786
0.837,-0.07523286343,8.982519713
0.84,-0.06897783279,4.51984158
0.843,-0.06506383419,2.869023797
0.846,-0.05918681622,2.22528686
0.849,-0.05250362754,5.401487735
0.852,-0.04514651299,4.884062853
0.855,-0.03963278532,1.903986615
0.858,-0.03321180344,8.978818886
0.861,-0.02788844705,4.30730286
0.864,-0.02382280827,-1.774979388
0.867,-0.02032799721,6.069106111
0.87,-0.01663355827,2.32724274
0.873,-0.01307551861,2.767905549
0.876,-0.01089966297,-0.7094712258
0.879,-0.008919471502,0.6448132895
0.882,-0.006820678711,5.931529369
0.885,-0.005275654793,1.100208889
0.888,-0.004165899754,1.077594693
0.891,-0.003075122833,0.7668012828
0.894,-0.002301669121,0.4639897451
0.897,-0.001607429981,0.810054612
0.9,-0.00103199482,0.3357395169
0.903,-0.0005159974098,0.03176581961
0.906,0,0